,latent_shape_params,first_principal_component,second_principal_component,name
0,[0. 0. 0. 0.],0.0,0.0,white_blue_mug
1,[-59.92  -4.5   11.99   1.61],-59.91659,-4.4955053,mug_00
2,[ 18.39 -11.79  31.43 -33.34],18.386173,-11.793232,mug_01
3,[ -3.92  33.66 -26.04 -20.68],-3.9242537,33.656536,mug_03
4,[ 9.75 23.66 -1.13  1.94],9.749825,23.662615,mug_04
5,[ 8.94  0.35 14.16 14.91],8.938867,0.34621394,mug_05
6,[12.49  2.26  7.   18.82],12.486619,2.2616496,mug_06
7,[  3.46 -39.38 -32.68  -8.19],3.4647908,-39.38107,mug_07
8,[10.81 -4.26 -4.73 24.92],10.814507,-4.2572546,mug_10
